Area Year,Area,Year,Cases,Rate
Kaufman2018,Kaufman,2018,151,117.4
Kaufman2016,Kaufman,2016,114,96.6
Kaufman2017,Kaufman,2017,107,87.1
Kaufman2015,Kaufman,2015,85,74.5
Kaufman2014,Kaufman,2014,79,71.2
Kendall2014,Kendall,2014,22,57.3
Kendall2018,Kendall,2018,17,37.2
Kendall2016,Kendall,2016,13,31
Kendall2017,Kendall,2017,12,27.3
Kendall2015,Kendall,2015,12,30
Kenedy2018,Kenedy,2018,0,0
Kenedy2017,Kenedy,2017,0,0
Kenedy2016,Kenedy,2016,0,0
Kenedy2015,Kenedy,2015,0,0
Kenedy2014,Kenedy,2014,0,0
Kent2018,Kent,2018,0,0
Kent2017,Kent,2017,0,0
Kent2016,Kent,2016,0,0
Kent2015,Kent,2015,0,0
Kent2014,Kent,2014,0,0
Kerr2014,Kerr,2014,26,51.7
Kerr2018,Kerr,2018,22,42
Kerr2016,Kerr,2016,15,29.2
Kerr2017,Kerr,2017,13,25.1
Kerr2015,Kerr,2015,5,9.8
Kimble2016,Kimble,2016,5,113.3
Kimble2018,Kimble,2018,,
Kimble2017,Kimble,2017,,
Kimble2015,Kimble,2015,,
Kimble2014,Kimble,2014,,
King2018,King,2018,0,0
King2016,King,2016,0,0
King2015,King,2015,0,0
King2014,King,2014,0,0
King2017,King,2017,,
Kinney2017,Kinney,2017,0,0
Kinney2016,Kinney,2016,0,0
Kinney2014,Kinney,2014,0,0
Kinney2018,Kinney,2018,,
Kinney2015,Kinney,2015,,
Kleberg2015,Kleberg,2015,44,139.7
Kleberg2018,Kleberg,2018,43,138.1
Kleberg2016,Kleberg,2016,38,120.8
Kleberg2014,Kleberg,2014,32,100.3
Kleberg2017,Kleberg,2017,26,83.5
Knox2014,Knox,2014,6,157.8
Knox2018,Knox,2018,0,0
Knox2017,Knox,2017,,
Knox2016,Knox,2016,,
Knox2015,Knox,2015,,
La Salle2018,La Salle,2018,,
La Salle2017,La Salle,2017,,
La Salle2016,La Salle,2016,,
